date,year,title,body,slug,path,source,source_url,format
2019-02-26,2019,Magna Council Meeting,Council,council-regular,minutes/2019/2019-02-26_council_522731.md,pmn,https://www.utah.gov/pmn/files/522731.pdf,pdf-text
2019-03-12,2019,Magna Council Meeting,Council,council-regular,minutes/2019/2019-03-12_council_522733.md,pmn,https://www.utah.gov/pmn/files/522733.pdf,pdf-text
2019-03-26,2019,Magna Council Meeting,Council,council-regular,minutes/2019/2019-03-26_council_522735.md,pmn,https://www.utah.gov/pmn/files/522735.pdf,pdf-text
2019-04-09,2019,Magna Council Meeting,Council,council-regular,minutes/2019/2019-04-09_council_522737.md,pmn,https://www.utah.gov/pmn/files/522737.pdf,pdf-text
2019-05-14,2019,Magna Council Meeting,Council,council-regular,minutes/2019/2019-05-14_council_522739.md,pmn,https://www.utah.gov/pmn/files/522739.pdf,pdf-text
2019-05-28,2019,Magna Council Meeting,Council,council-regular,minutes/2019/2019-05-28_council_522741.md,pmn,https://www.utah.gov/pmn/files/522741.pdf,pdf-text
2019-06-11,2019,Magna Council Meeting,Council,council-regular,minutes/2019/2019-06-11_council_522743.md,pmn,https://www.utah.gov/pmn/files/522743.pdf,pdf-text
2019-06-25,2019,Magna Council Meeting,Council,council-regular,minutes/2019/2019-06-25_council_522745.md,pmn,https://www.utah.gov/pmn/files/522745.pdf,pdf-text
2019-07-09,2019,Magna Council Meeting,Council,council-regular,minutes/2019/2019-07-09_council_522751.md,pmn,https://www.utah.gov/pmn/files/522751.pdf,pdf-text
2019-08-13,2019,Magna Council Meeting,Council,council-regular,minutes/2019/2019-08-13_council_568105.md,pmn,https://www.utah.gov/pmn/files/568105.pdf,pdf-text
2019-08-27,2019,Magna Council Meeting,Council,council-regular,minutes/2019/2019-08-27_council_568113.md,pmn,https://www.utah.gov/pmn/files/568113.pdf,pdf-text
2019-09-10,2019,Magna Council Meeting,Council,council-regular,minutes/2019/2019-09-10_council_568117.md,pmn,https://www.utah.gov/pmn/files/568117.pdf,pdf-text
