source,motion_no,date,body,motion_type_native,motion_type_std,land_use_type,action_class,outcome,tally_aye,tally_nay,tally_other,vote_mode,result_raw,classify_method,classify_confidence
planning_commission/minutes/2023/2023-02-20/2023-02-23_planning-commission-meeting.md,3,2023-02-23,PlanningCommission,Other,Other,,recommendation,pass,5,0,,roll-call,Positive recommendation 5:0,rule:no-signal,low
planning_commission/minutes/2023/2023-03-06/2023-03-09_planning-commission-meeting.md,1,2023-03-09,PlanningCommission,Other,Other,,final-action,pass,4,1,,roll-call,4:1 Approved (Final Action),rule:no-signal,low
planning_commission/minutes/2023/2023-03-06/2023-03-09_planning-commission-meeting.md,2,2023-03-09,PlanningCommission,Land-Use/Zoning,Land-Use,Rezone,recommendation,pass,3,2,,roll-call,Positive recommendation 3:2,rule:lu-rezone,high
planning_commission/minutes/2023/2023-03-06/2023-03-09_planning-commission-meeting.md,3,2023-03-09,PlanningCommission,Land-Use/Zoning,Land-Use,Site-Plan-Design-Review,final-action,pass,5,0,,roll-call,5:0 Approved (Final Action),rule:lu-site,high
planning_commission/minutes/2023/2023-03-06/2023-03-09_planning-commission-meeting.md,4,2023-03-09,PlanningCommission,Land-Use/Zoning,Land-Use,Site-Plan-Design-Review,final-action,pass,5,0,,roll-call,5:0 Approved (Final Action),rule:lu-site,high
planning_commission/minutes/2023/2023-03-06/2023-03-09_planning-commission-meeting.md,5,2023-03-09,PlanningCommission,Other,Land-Use,Other-Land-Use,recommendation,pass,5,0,,roll-call,Positive recommendation 5:0,rule:lu-accessory,high
planning_commission/minutes/2023/2023-03-06/2023-03-09_planning-commission-meeting.md,6,2023-03-09,PlanningCommission,Other,Other,,recommendation,pass,5,0,,roll-call,Positive recommendation 5:0,rule:no-signal,low
planning_commission/minutes/2023/2023-03-06/2023-03-09_planning-commission-meeting.md,7,2023-03-09,PlanningCommission,Procedural/Administrative,Procedural-Administrative,,procedural,pass,,,,unanimous-declared,Pass (unanimous),crosswalk,high
planning_commission/minutes/2023/2023-03-20/2023-03-23_planning-commission-meeting.md,1,2023-03-23,PlanningCommission,Land-Use/Zoning,Land-Use,Rezone,recommendation,pass,5,1,,roll-call,Negative recommendation 5:1,rule:lu-rezone,high
planning_commission/minutes/2023/2023-03-20/2023-03-23_planning-commission-meeting.md,2,2023-03-23,PlanningCommission,Procedural/Administrative,Procedural-Administrative,,procedural,pass,,,,unanimous-declared,Pass (unanimous),crosswalk,high
planning_commission/minutes/2023/2023-03-20/2023-03-23_planning-commission-meeting.md,3,2023-03-23,PlanningCommission,Procedural/Administrative,Land-Use,Subdivision-Plat,procedural,pass,,,,unanimous-declared,Pass (unanimous),rule:lu-subdiv,high
planning_commission/minutes/2023/2023-04-10/2023-04-13_planning-commission-meeting.md,1,2023-04-13,PlanningCommission,Land-Use/Zoning,Land-Use,Conditional-Use,final-action,pass,7,0,,roll-call,7:0 Approved (Final Action),rule:lu-cup,high
